,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
7632,2430,Al Ahram Beverages Company,1318515648,2.0,3.5,3.5,BlackHaddock,American Malt Liquor,2.0,2.0,Sakara King,10.0,35982
7633,2430,Al Ahram Beverages Company,1174525547,1.5,2.0,3.0,elricorico,American Malt Liquor,3.0,2.0,Sakara King,10.0,35982
8159,26946,Big Hurt Brewing Company,1325543902,3.5,3.5,3.0,Auracom,American Malt Liquor,3.0,2.5,Big Hurt Beer,7.0,74145
8160,26946,Big Hurt Brewing Company,1324686896,3.0,3.0,3.5,kawilliams81,American Malt Liquor,2.5,3.5,Big Hurt Beer,7.0,74145
8161,26946,Big Hurt Brewing Company,1319643688,3.5,2.5,3.0,Sean9689,American Malt Liquor,4.0,3.0,Big Hurt Beer,7.0,74145
8162,26946,Big Hurt Brewing Company,1319126976,3.0,2.5,3.0,AgentZero,American Malt Liquor,3.0,3.5,Big Hurt Beer,7.0,74145
8163,26946,Big Hurt Brewing Company,1318972645,3.0,3.0,3.0,KC9LDB,American Malt Liquor,4.0,2.0,Big Hurt Beer,7.0,74145
8164,26946,Big Hurt Brewing Company,1318900503,3.0,3.0,2.0,samie85,American Malt Liquor,3.0,2.5,Big Hurt Beer,7.0,74145
8165,26946,Big Hurt Brewing Company,1318800856,3.5,2.5,3.5,MasterSki,American Malt Liquor,3.5,3.0,Big Hurt Beer,7.0,74145
8168,26946,Big Hurt Brewing Company,1318650893,2.5,3.0,3.5,TMoney2591,American Malt Liquor,2.5,2.0,Big Hurt Beer,7.0,74145
47293,2098,Terminal Gravity Brewing Company,1128521181,4.5,4.5,3.0,grumpy,American Malt Liquor,4.0,4.5,Ten,10.0,25196
47294,2098,Terminal Gravity Brewing Company,1123526984,1.5,2.5,3.5,unklesyd,American Malt Liquor,2.0,2.0,Ten,10.0,25196
47626,289,Saint Ides Brewing Company,1323758546,1.0,2.0,3.5,ZenAgnostic,American Malt Liquor,1.0,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47627,289,Saint Ides Brewing Company,1323392565,2.0,1.0,2.5,emerge077,American Malt Liquor,2.0,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47628,289,Saint Ides Brewing Company,1320375486,3.0,3.0,4.0,drabmuh,American Malt Liquor,3.5,3.0,St. Ides High Gravity Malt Liquor,8.2,798
47629,289,Saint Ides Brewing Company,1307055679,1.5,1.0,2.0,Beerandraiderfan,American Malt Liquor,2.0,1.5,St. Ides High Gravity Malt Liquor,8.2,798
47630,289,Saint Ides Brewing Company,1304294988,1.5,4.0,4.0,cpolking,American Malt Liquor,3.5,1.5,St. Ides High Gravity Malt Liquor,8.2,798
47631,289,Saint Ides Brewing Company,1298427765,2.0,2.0,2.0,mikesgroove,American Malt Liquor,2.0,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47632,289,Saint Ides Brewing Company,1113567702,3.0,3.0,4.0,kegerator,American Malt Liquor,2.0,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47633,289,Saint Ides Brewing Company,1286763811,1.0,1.5,2.5,womencantsail,American Malt Liquor,2.5,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47634,289,Saint Ides Brewing Company,1276378640,3.0,3.0,3.0,RonaldTheriot,American Malt Liquor,3.5,4.0,St. Ides High Gravity Malt Liquor,8.2,798
47635,289,Saint Ides Brewing Company,1276279028,1.0,1.5,3.0,junjun,American Malt Liquor,1.0,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47636,289,Saint Ides Brewing Company,1268119138,1.0,2.0,3.0,stimulus,American Malt Liquor,1.0,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47637,289,Saint Ides Brewing Company,1263792837,5.0,3.0,3.0,flarnrules,American Malt Liquor,4.5,4.0,St. Ides High Gravity Malt Liquor,8.2,798
47638,289,Saint Ides Brewing Company,1262378287,2.5,2.0,3.5,twiggamortis420,American Malt Liquor,3.0,2.5,St. Ides High Gravity Malt Liquor,8.2,798
47639,289,Saint Ides Brewing Company,1261543240,3.5,2.5,3.5,beer256,American Malt Liquor,5.0,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47640,289,Saint Ides Brewing Company,1254132576,5.0,3.0,3.0,jones6,American Malt Liquor,3.0,2.5,St. Ides High Gravity Malt Liquor,8.2,798
47641,289,Saint Ides Brewing Company,1249940098,2.0,3.5,2.5,tone77,American Malt Liquor,2.5,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47642,289,Saint Ides Brewing Company,1106256945,1.0,1.5,1.5,TastyTaste,American Malt Liquor,2.0,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47643,289,Saint Ides Brewing Company,1248995693,1.5,2.0,3.0,puboflyons,American Malt Liquor,2.5,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47644,289,Saint Ides Brewing Company,1237155227,1.5,1.0,1.5,Overlord,American Malt Liquor,1.5,1.5,St. Ides High Gravity Malt Liquor,8.2,798
47645,289,Saint Ides Brewing Company,1232862992,2.0,2.5,3.0,BierFan,American Malt Liquor,2.0,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47646,289,Saint Ides Brewing Company,1232499732,1.0,1.5,2.5,PintOHops,American Malt Liquor,2.0,1.5,St. Ides High Gravity Malt Liquor,8.2,798
47647,289,Saint Ides Brewing Company,1231909527,2.5,2.5,2.5,BEERchitect,American Malt Liquor,2.0,2.5,St. Ides High Gravity Malt Liquor,8.2,798
47648,289,Saint Ides Brewing Company,1224226037,2.5,1.5,2.0,Blake,American Malt Liquor,2.5,1.5,St. Ides High Gravity Malt Liquor,8.2,798
47649,289,Saint Ides Brewing Company,1224200914,2.0,2.0,2.0,Offa,American Malt Liquor,2.0,1.5,St. Ides High Gravity Malt Liquor,8.2,798
47650,289,Saint Ides Brewing Company,1221672864,1.0,2.0,2.5,kguyty,American Malt Liquor,2.0,1.5,St. Ides High Gravity Malt Liquor,8.2,798
47651,289,Saint Ides Brewing Company,1097544228,3.0,2.0,2.5,Gagnonsux,American Malt Liquor,3.0,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47652,289,Saint Ides Brewing Company,1219297410,1.0,1.0,4.0,woodychandler,American Malt Liquor,1.0,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47653,289,Saint Ides Brewing Company,1217546805,2.5,2.5,3.0,dsa7783,American Malt Liquor,2.5,3.0,St. Ides High Gravity Malt Liquor,8.2,798
47654,289,Saint Ides Brewing Company,1216614207,1.5,2.0,1.5,ryseone,American Malt Liquor,3.0,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47655,289,Saint Ides Brewing Company,1213827132,3.0,2.5,3.0,biggred1,American Malt Liquor,3.0,3.0,St. Ides High Gravity Malt Liquor,8.2,798
47656,289,Saint Ides Brewing Company,1211583599,2.5,1.5,1.5,NOOGIE,American Malt Liquor,2.5,2.5,St. Ides High Gravity Malt Liquor,8.2,798
47657,289,Saint Ides Brewing Company,1211226748,2.5,2.0,2.0,Lexluthor33,American Malt Liquor,2.0,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47658,289,Saint Ides Brewing Company,1211075257,1.5,1.5,2.0,rye726,American Malt Liquor,1.5,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47659,289,Saint Ides Brewing Company,1208911414,2.0,3.0,2.0,Hoppydude1980,American Malt Liquor,2.5,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47660,289,Saint Ides Brewing Company,1200425442,2.5,2.5,2.5,clayrock81,American Malt Liquor,2.0,3.0,St. Ides High Gravity Malt Liquor,8.2,798
47661,289,Saint Ides Brewing Company,1199135863,3.5,3.5,3.0,rrob311,American Malt Liquor,3.0,4.0,St. Ides High Gravity Malt Liquor,8.2,798
