,target_value,predicted_value,predicted_value_scaled
0,4.5,4.31882440476,4.5
3,4.5,4.42830882353,4.5
11,3.0,3.69511149228,3.5
16,5.0,4.07113303628,4.0
19,4.5,4.02077656676,4.0
20,4.0,4.02077656676,4.0
25,4.0,3.72427502339,3.5
25,4.0,3.72427502339,3.5
30,3.0,4.11492443325,4.0
31,4.0,4.07113303628,4.0
47,3.0,4.48761609907,4.5
51,3.0,3.25148179509,3.5
67,3.5,4.61350574713,4.5
68,3.5,4.42830882353,4.5
74,5.0,4.61350574713,4.5
77,3.5,4.42830882353,4.5
97,4.0,4.71428571429,4.5
109,3.5,4.42830882353,4.5
114,4.0,4.42830882353,4.5
115,3.0,4.61350574713,4.5
115,3.0,4.61350574713,4.5
116,4.0,4.07113303628,4.0
117,4.0,4.42830882353,4.5
130,3.0,4.49681528662,4.5
132,3.5,4.61350574713,4.5
147,3.5,4.07113303628,4.0
155,3.5,4.3115942029,4.5
168,3.0,4.61350574713,4.5
170,4.0,4.85080645161,5.0
182,4.0,4.42830882353,4.5
183,4.0,4.3115942029,4.5
185,4.0,4.07113303628,4.0
207,4.5,4.11492443325,4.0
220,4.0,4.61350574713,4.5
235,3.0,4.42830882353,4.5
242,3.5,4.48761609907,4.5
248,5.0,3.72427502339,3.5
249,4.5,3.98581757508,4.0
253,4.5,4.71428571429,4.5
258,4.5,4.61350574713,4.5
261,4.0,4.42830882353,4.5
274,2.5,4.71428571429,4.5
276,4.0,4.61350574713,4.5
289,2.5,4.31882440476,4.5
292,3.5,4.85080645161,5.0
301,2.5,4.71428571429,4.5
305,1.5,4.3115942029,4.5
306,4.0,4.71428571429,4.5
311,3.0,3.69511149228,3.5
312,4.5,4.50833333333,4.5
317,4.0,3.69511149228,3.5
320,3.0,4.42830882353,4.5
320,3.0,4.42830882353,4.5
327,3.0,4.42830882353,4.5
340,4.5,4.31882440476,4.5
343,5.0,4.07113303628,4.0
345,1.5,4.11492443325,4.0
359,3.5,3.72427502339,3.5
360,3.5,4.25389518414,4.5
365,3.5,4.71428571429,4.5
394,3.5,4.31882440476,4.5
399,4.0,2.75160599572,3.0
422,4.5,4.61350574713,4.5
423,3.5,4.42830882353,4.5
436,4.5,4.71428571429,4.5
443,4.0,4.07113303628,4.0
466,4.5,3.76923076923,4.0
467,5.0,4.31882440476,4.5
471,4.5,2.82460732984,3.0
475,4.5,3.64806866953,3.5
482,5.0,4.61350574713,4.5
482,5.0,4.61350574713,4.5
483,4.5,3.72427502339,3.5
489,4.5,4.31882440476,4.5
494,5.0,3.98581757508,4.0
501,5.0,4.31882440476,4.5
516,4.5,3.72427502339,3.5
523,4.5,4.25389518414,4.5
532,5.0,4.42830882353,4.5
533,5.0,4.3115942029,4.5
550,5.0,4.85080645161,5.0
551,5.0,4.61350574713,4.5
554,4.5,4.19736842105,4.0
559,4.5,4.11492443325,4.0
562,4.0,4.25389518414,4.5
562,4.0,4.25389518414,4.5
573,5.0,4.42830882353,4.5
583,5.0,4.61350574713,4.5
586,4.5,4.61350574713,4.5
589,4.5,4.85080645161,5.0
591,5.0,3.72427502339,3.5
602,5.0,4.31882440476,4.5
604,5.0,4.50833333333,4.5
606,4.5,4.50833333333,4.5
618,4.5,4.42830882353,4.5
619,5.0,4.11492443325,4.0
620,5.0,4.50833333333,4.5
628,5.0,4.42830882353,4.5
